lane_code,product,category,crates_per_day,units_per_crate,daily_avg_units,max_stack,demand_source,divergence_flag,lane_of_product
K1-01,Buffin Muffin - Apple Pie-Ceps,muffin,6,24,368.5,7,"real (Shopify Online Store, 90-day trailing avg)",False,1 of 3
K1-02,Buffin Muffin - Apple Pie-Ceps,muffin,6,24,368.5,7,"real (Shopify Online Store, 90-day trailing avg)",False,2 of 3
K1-03,Buffin Muffin - Apple Pie-Ceps,muffin,6,24,368.5,7,"real (Shopify Online Store, 90-day trailing avg)",False,3 of 3
K1-04,Buffin Muffin - Banana Choc. Chip,muffin,4,24,164.1,7,"real (Shopify Online Store, 90-day trailing avg)",False,1 of 2
K1-05,Buffin Muffin - Banana Choc. Chip,muffin,4,24,164.1,7,"real (Shopify Online Store, 90-day trailing avg)",False,2 of 2
K1-06,Buffin Muffin - Banana Cream Protein Dream,muffin,6,24,237.7,7,"real (Shopify Online Store, 90-day trailing avg)",False,1 of 2
K1-07,Buffin Muffin - Banana Cream Protein Dream,muffin,6,24,237.7,7,"real (Shopify Online Store, 90-day trailing avg)",False,2 of 2
K1-08,Buffin Muffin - Blueberry,muffin,4,24,146.2,7,"real (Shopify Online Store, 90-day trailing avg)",False,1 of 2
K1-09,Buffin Muffin - Blueberry,muffin,4,24,146.2,7,"real (Shopify Online Store, 90-day trailing avg)",False,2 of 2
K1-10,Buffin Muffin - Boston Chocolate Creme,muffin,6,24,210.2,7,"real (Shopify Online Store, 90-day trailing avg)",False,1 of 2
K1-11,Buffin Muffin - Boston Chocolate Creme,muffin,5,24,210.2,7,"real (Shopify Online Store, 90-day trailing avg)",False,2 of 2
K1-12,Buffin Muffin - Buff Roll,muffin,5,24,307.1,7,"real (Shopify Online Store, 90-day trailing avg)",False,1 of 3
K1-13,Buffin Muffin - Buff Roll,muffin,5,24,307.1,7,"real (Shopify Online Store, 90-day trailing avg)",False,2 of 3
K1-14,Buffin Muffin - Buff Roll,muffin,5,24,307.1,7,"real (Shopify Online Store, 90-day trailing avg)",False,3 of 3
K1-15,Buffin Muffin - Buff Served,muffin,7,24,140.1,7,"real (Shopify Online Store, 90-day trailing avg)",False,
