Zone/Section,Shelf/Bin Label,Lane Code,Product
Bakery & Snacks,"Row K1, Position 01",K1-01,Buffin Muffin - Apple Pie-Ceps
Bakery & Snacks,"Row K1, Position 02",K1-02,Buffin Muffin - Apple Pie-Ceps
Bakery & Snacks,"Row K1, Position 03",K1-03,Buffin Muffin - Apple Pie-Ceps
Bakery & Snacks,"Row K1, Position 04",K1-04,Buffin Muffin - Banana Choc. Chip
Bakery & Snacks,"Row K1, Position 05",K1-05,Buffin Muffin - Banana Choc. Chip
Bakery & Snacks,"Row K1, Position 06",K1-06,Buffin Muffin - Banana Cream Protein Dream
Bakery & Snacks,"Row K1, Position 07",K1-07,Buffin Muffin - Banana Cream Protein Dream
Bakery & Snacks,"Row K1, Position 08",K1-08,Buffin Muffin - Blueberry
Bakery & Snacks,"Row K1, Position 09",K1-09,Buffin Muffin - Blueberry
Bakery & Snacks,"Row K1, Position 10",K1-10,Buffin Muffin - Boston Chocolate Creme
Bakery & Snacks,"Row K1, Position 11",K1-11,Buffin Muffin - Boston Chocolate Creme
Bakery & Snacks,"Row K1, Position 12",K1-12,Buffin Muffin - Buff Roll
Bakery & Snacks,"Row K1, Position 13",K1-13,Buffin Muffin - Buff Roll
Bakery & Snacks,"Row K1, Position 14",K1-14,Buffin Muffin - Buff Roll
Bakery & Snacks,"Row K1, Position 15",K1-15,Buffin Muffin - Buff Served
Bakery & Snacks,"Row K1, Position 16",K1-16,Buffin Muffin - Buffcoff
Bakery & Snacks,"Row K1, Position 17",K1-17,Buffin Muffin - Buffcoff
Bakery & Snacks,"Row K1, Position 18",K1-18,Buffin Muffin - ChocoLIT
Bakery & Snacks,"Row K1, Position 19",K1-19,Buffin Muffin - ChocoLIT
Bakery & Snacks,"Row K1, Position 20",K1-20,Buffin Muffin - Cinna Blast
Bakery & Snacks,"Row K1, Position 21",K1-21,Buffin Muffin - Cinna Blast
Bakery & Snacks,"Row K1, Position 22",K1-22,Buffin Muffin - Cookie Butter Tres Leches
Bakery & Snacks,"Row K1, Position 23",K1-23,Buffin Muffin - Cookie Butter Tres Leches
Bakery & Snacks,"Row K1, Position 24",K1-24,Buffin Muffin - Cookies and Cream Crunch
Bakery & Snacks,"Row K1, Position 25",K1-25,Buffin Muffin - Double Chocolate Brownie
Bakery & Snacks,"Row K1, Position 26",K1-26,Buffin Muffin - Double Chocolate Brownie
Bakery & Snacks,"Row K1, Position 27",K1-27,Buffin Muffin - German Chocolate Cake
Bakery & Snacks,"Row K1, Position 28",K1-28,Buffin Muffin - German Chocolate Cake
Bakery & Snacks,"Row K1, Position 29",K1-29,Buffin Muffin - Gluten Free Confetti Pop
Bakery & Snacks,"Row K1, Position 30",K1-30,Buffin Muffin - Gluten Free Cookies and Milk
Bakery & Snacks,"Row K1, Position 31",K1-31,Buffin Muffin - Gluten Free Cookies and Milk
Bakery & Snacks,"Row K1, Position 32",K1-32,Buffin Muffin - Strawberry Buff Blast
Bakery & Snacks,"Row K1, Position 33",K1-33,Buffin Muffin - Strawberry Buff Blast
Bakery & Snacks,"Row K1, Position 34",K1-34,Buffin Muffin - Strawberry Crunch Milkshake
Bakery & Snacks,"Row K1, Position 35",K1-35,Buffin Muffin - TwistBar
Bakery & Snacks,"Row K2, Position 01",K2-01,Buffin Muffin - TwistBar
Bakery & Snacks,"Row K2, Position 02",K2-02,Buffin Muffin - Welcome to the Sno
Bakery & Snacks,"Row K2, Position 03",K2-03,3 Banana Chocolate Protein Poppers
Bakery & Snacks,"Row K2, Position 04",K2-04,Overnight Oats - Banana Chocolate Chip
Bakery & Snacks,"Row K2, Position 05",K2-05,Overnight Oats - Blueberry Muffin
Bakery & Snacks,"Row K2, Position 06",K2-06,Overnight Oats - Cannoli
Bakery & Snacks,"Row K2, Position 07",K2-07,Buff Crisp Bar - Chocolate
Bakery & Snacks,"Row K2, Position 08",K2-08,Overnight Oats - Chocolate Peanut Butter
Bakery & Snacks,"Row K2, Position 09",K2-09,Buff Crisp Bar - Cinna Crunch
Bakery & Snacks,"Row K2, Position 10",K2-10,Overnight Oats - Cookie Creme
Bakery & Snacks,"Row K2, Position 11",K2-11,Overnight Oats - Cookie Dough
Bakery & Snacks,"Row K2, Position 12",K2-12,Cookies and Cream Crunch
Bakery & Snacks,"Row K2, Position 13",K2-13,Cookies and Cream Crunch
Bakery & Snacks,"Row K2, Position 14",K2-14,Cookies and Cream Crunch
Bakery & Snacks,"Row K2, Position 15",K2-15,Cookies and Cream Crunch - Exclusive- 20
Bakery & Snacks,"Row K2, Position 16",K2-16,Overnight Oats - Cookies n Cream
Bakery & Snacks,"Row K2, Position 17",K2-17,Overnight Oats - Dubai Chocolate
Bakery & Snacks,"Row K2, Position 18",K2-18,Overnight Oats - Fitella
Bakery & Snacks,"Row K2, Position 19",K2-19,Buff Crisp Bar - Fruity Cereal
Bakery & Snacks,"Row K2, Position 20",K2-20,Overnight Oats - Graham Fetti
Bakery & Snacks,"Row K2, Position 21",K2-21,Buff Crisp Bar - Original Recipe
Bakery & Snacks,"Row K2, Position 22",K2-22,Overnight Oats - Peanut Butter & Jelly
Bakery & Snacks,"Row K2, Position 23",K2-23,Overnight Oats - Peanut Butter Brownie
Bakery & Snacks,"Row K2, Position 24",K2-24,Peanut Butter Chocolate Gree-Yo
Bakery & Snacks,"Row K2, Position 25",K2-25,Peanut Butter Energy Bites
Bakery & Snacks,"Row K2, Position 26",K2-26,Protein Chocolate Pudding
Bakery & Snacks,"Row K2, Position 27",K2-27,S'Mores Gree-Yo
Bakery & Snacks,"Row K2, Position 28",K2-28,Overnight Oats - Toast n' Crunch
Bakery & Snacks,"Row K2, Position 29",K2-29,(empty)
Bakery & Snacks,"Row K2, Position 30",K2-30,(empty)
Bakery & Snacks,"Row K2, Position 31",K2-31,(empty)
Bakery & Snacks,"Row K2, Position 32",K2-32,(empty)
Bakery & Snacks,"Row K2, Position 33",K2-33,(empty)
Bakery & Snacks,"Row K2, Position 34",K2-34,(empty)
Bakery & Snacks,"Row K2, Position 35",K2-35,(empty)
Bakery & Snacks,"Row K3, Position 01",K3-01,(empty)
Bakery & Snacks,"Row K3, Position 02",K3-02,(empty)
Bakery & Snacks,"Row K3, Position 03",K3-03,(empty)
Bakery & Snacks,"Row K3, Position 04",K3-04,(empty)
Bakery & Snacks,"Row K3, Position 05",K3-05,(empty)
Bakery & Snacks,"Row K3, Position 06",K3-06,(empty)
Bakery & Snacks,"Row K3, Position 07",K3-07,(empty)
Bakery & Snacks,"Row K3, Position 08",K3-08,(empty)
Bakery & Snacks,"Row K3, Position 09",K3-09,(empty)
Bakery & Snacks,"Row K3, Position 10",K3-10,(empty)
Bakery & Snacks,"Row K3, Position 11",K3-11,(empty)
Bakery & Snacks,"Row K3, Position 12",K3-12,(empty)
Bakery & Snacks,"Row K3, Position 13",K3-13,(empty)
Bakery & Snacks,"Row K3, Position 14",K3-14,(empty)
Bakery & Snacks,"Row K3, Position 15",K3-15,(empty)
Bakery & Snacks,"Row K3, Position 16",K3-16,(empty)
Bakery & Snacks,"Row K3, Position 17",K3-17,(empty)
Bakery & Snacks,"Row K3, Position 18",K3-18,(empty)
Bakery & Snacks,"Row K3, Position 19",K3-19,(empty)
Bakery & Snacks,"Row K3, Position 20",K3-20,(empty)
Bakery & Snacks,"Row K3, Position 21",K3-21,(empty)
Bakery & Snacks,"Row K3, Position 22",K3-22,(empty)
Bakery & Snacks,"Row K3, Position 23",K3-23,(empty)
Bakery & Snacks,"Row K3, Position 24",K3-24,(empty)
Bakery & Snacks,"Row K3, Position 25",K3-25,(empty)
Bakery & Snacks,"Row K3, Position 26",K3-26,(empty)
Bakery & Snacks,"Row K3, Position 27",K3-27,(empty)
Bakery & Snacks,"Row K3, Position 28",K3-28,(empty)
Bakery & Snacks,"Row K3, Position 29",K3-29,(empty)
Bakery & Snacks,"Row K3, Position 30",K3-30,(empty)
